poisonous,cap_shape_eq_convex,cap_shape_eq_bell,cap_shape_eq_sunken,cap_shape_eq_flat,cap_shape_eq_knobbed,cap_shape_eq_conical,cap_surface_eq_smooth,cap_surface_eq_scaly,cap_surface_eq_fibrous,cap_surface_eq_grooves,cap_color_eq_brown,cap_color_eq_yellow,cap_color_eq_white,cap_color_eq_gray,cap_color_eq_red,cap_color_eq_pink,cap_color_eq_buff,cap_color_eq_purple,cap_color_eq_cinnamon,cap_color_eq_green,bruises_eq_TRUE,odor_eq_pungent,odor_eq_almond,odor_eq_anise,odor_eq_none,odor_eq_foul,odor_eq_creosote,odor_eq_fishy,odor_eq_spicy,odor_eq_musty,gill_attachment_eq_free,gill_attachment_eq_attached,gill_spacing_eq_close,gill_spacing_eq_crowded,gill_size_eq_narrow,gill_size_eq_broad,gill_color_eq_black,gill_color_eq_brown,gill_color_eq_gray,gill_color_eq_pink,gill_color_eq_white,gill_color_eq_chocolate,gill_color_eq_purple,gill_color_eq_red,gill_color_eq_buff,gill_color_eq_green,gill_color_eq_yellow,gill_color_eq_orange,stalk_shape_eq_elarging,stalk_shape_eq_tapering,stalk_root_eq_equal,stalk_root_eq_club,stalk_root_eq_bulbous,stalk_root_eq_rooted,stalk_surface_above_ring_eq_smooth,stalk_surface_above_ring_eq_fibrous,stalk_surface_above_ring_eq_grooves,stalk_surface_above_ring_eq_scaly,stalk_surface_below_ring_eq_smooth,stalk_surface_below_ring_eq_fibrous,stalk_surface_below_ring_eq_scaly,stalk_surface_below_ring_eq_grooves,stalk_color_above_ring_eq_white,stalk_color_above_ring_eq_gray,stalk_color_above_ring_eq_pink,stalk_color_above_ring_eq_brown,stalk_color_above_ring_eq_buff,stalk_color_above_ring_eq_red,stalk_color_above_ring_eq_orange,stalk_color_above_ring_eq_cinnamon,stalk_color_above_ring_eq_yellow,stalk_color_below_ring_eq_white,stalk_color_below_ring_eq_pink,stalk_color_below_ring_eq_gray,stalk_color_below_ring_eq_buff,stalk_color_below_ring_eq_brown,stalk_color_below_ring_eq_red,stalk_color_below_ring_eq_yellow,stalk_color_below_ring_eq_orange,stalk_color_below_ring_eq_cinnamon,veil_color_eq_white,veil_color_eq_brown,veil_color_eq_orange,veil_color_eq_yellow,ring_number_eq_1,ring_number_eq_2,ring_type_eq_pendant,ring_type_eq_evanescent,ring_type_eq_large,ring_type_eq_flaring,ring_type_eq_none,spore_print_color_eq_black,spore_print_color_eq_brown,spore_print_color_eq_purple,spore_print_color_eq_chocolate,spore_print_color_eq_white,spore_print_color_eq_green,spore_print_color_eq_orange,spore_print_color_eq_yellow,spore_print_color_eq_buff,population_eq_scattered,population_eq_numerous,population_eq_abundant,population_eq_several,population_eq_solitary,population_eq_clustered,habitat_eq_urban,habitat_eq_grasses,habitat_eq_meadows,habitat_eq_woods,habitat_eq_paths,habitat_eq_waste,habitat_eq_leaves
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
